Common name,Scientific name,eBird code,active
Ashy Tailorbird,Orthotomus ruficeps,ashtai1,no
Asian Glossy Starling,Aplonis panayensis,asgsta1,no
Asian Koel,Eudynamys scolopaceus,asikoe2,yes
Baya Weaver,Ploceus philippinus,baywea1,no
Black-bellied Malkoha,Phaenicophaeus diardi,blbmal1,no
Black-naped Oriole,Oriolus chinensis,blnori1,no
Blue-tailed Bee-eater,Merops philippinus,btbeat1,no
Blue-throated Bee-eater,Merops viridis,btbeat2,no
Brown-throated Sunbird,Anthreptes malacensis,pltsun2,no
Collared Kingfisher,Todiramphus chloris,colkin1,yes
Common Iora,Aegithina tiphia,comior1,yes
Common Myna,Acridotheres tristis,commyn,no
Common Tailorbird,Orthotomus sutorius,comtai1,yes
Coppersmith Barbet,Psilopogon haemacephalus,copbar1,yes
Eastern Cattle-egret,Bubulcus coromandus,categr2,no
Eurasian Tree Sparrow,Passer montanus,eutspa,no
Golden-bellied Gerygone,Gerygone sulphurea,gobger1,no
Gray Heron,Ardea cinerea,graher1,no
Greater Racket-tailed Drongo,Dicrurus paradiseus,grtdro1,no
Grey-breasted Spiderhunter,Arachnothera modesta,gybspi2,no
House Crow,Corvus splendens,houcro1,no
Javan Myna,Acridotheres javanicus,whvmyn,no
Large-tailed Nightjar,Caprimulgus macrurus,latnig2,yes
Lineated Barbet,Psilopogon lineatus,linbar1,no
Little Egret,Egretta garzetta,litegr,no
Little Green Pigeon,Treron olax,ligpig1,no
Little Heron,Butorides striata,strher1,no
Long-tailed Parakeet,Psittacula longicauda,lotpar2,no
Medium Egret,Ardea intermedia,integr1,no
Olive-backed Sunbird,Cinnyris jugularis,olbsun4,yes
Olive-winged Bulbul,Pycnonotus plumosus,olwbul1,no
Oriental Magpie Robin,Copsychus saularis,magrob,no
Pacific Swallow,Hirundo tahitica,pacswa1,no
Paddyfield Pipit,Anthus rufulus,oripip1,no
Painted Stork,Mycteria leucocephala,paisto1,no
Pied Fantail,Rhipidura javanica,piefan1,no
Pied Triller,Lalage nigra,pietri1,no
Pink-necked Green Pigeon,Treron vernans,pinpig3,no
Red-eyed Bulbul,Pycnonotus brunneus,reebul1,no
Red-whiskered Bulbul,Pycnonotus jocosus,rewbul,no
Rock Pigeon,Columba livia,rocpig,no
Scaly-breasted Munia,Lonchura punctulata,nutman,no
Scarlet-backed Flowerpecker,Dicaeum cruentatum,scbflo1,no
Spotted Dove,Spilopelia chinensis,spodov,yes
Sunda Pygmy Woodpecker,Yungipicus moluccensis,bncwoo2,no
Swinhoe's White-eye,Zosterops simplex,swiwhe1,no
White-breasted Waterhen,Amaurornis phoenicurus,whbwat1,yes
White-throated Kingfisher,Halcyon smyrnensis,whtkin2,yes
Yellow-vented Bulbul,Pycnonotus goiavier,yevbul1,no
Zebra Dove,Geopelia striata,zebdov,no
